1, C60, P13
2, C78, P14
3, C30, P14
4, C11, P17
5, C28, P1
6, C73, P8
7, C53, P4
8, C82, P20
9, C99, P7
10, C31, P8
11, C27, P5
12, C47, P3
13, C7, P19
14, C24, P2
15, C14, P16
16, C62, P12
17, C59, P5
18, C29, P12
19, C48, P4
20, C97, P14
21, C7, P7
22, C18, P18
23, C66, P17
24, C2, P2
25, C85, P8
26, C14, P5
27, C35, P14
28, C22, P11
29, C18, P12
30, C95, P9
31, C63, P12
32, C92, P10
33, C89, P5
34, C95, P7
35, C95, P16
36, C39, P15
37, C64, P4
38, C74, P5
39, C56, P9
40, C83, P3
41, C31, P14
42, C54, P12
43, C69, P9
44, C78, P5
45, C51, P6
46, C17, P6
47, C76, P14
48, C18, P6
49, C92, P20
50, C76, P10
51, C71, P6
52, C10, P16
53, C80, P9
54, C32, P11
55, C76, P3
56, C94, P9
57, C76, P12
58, C47, P18
59, C38, P6
60, C13, P11
61, C79, P1
62, C70, P18
63, C54, P15
64, C66, P16
65, C10, P16
66, C41, P9
67, C54, P10
68, C37, P7
69, C49, P12
70, C21, P14
71, C94, P20
72, C74, P12
73, C40, P7
74, C17, P13
75, C29, P15
76, C89, P6
77, C15, P6
78, C49, P8
79, C85, P8
80, C35, P14
81, C81, P6
82, C90, P6
83, C47, P4
84, C78, P3
85, C63, P1
86, C43, P17
87, C25, P2
88, C40, P18
89, C88, P1
90, C100, P5
91, C84, P2
92, C93, P5
93, C89, P3
94, C26, P14
95, C64, P18
96, C67, P9
97, C63, P11
98, C60, P19
99, C18, P9
100, C4, P10
101, C42, P5
102, C92, P1
103, C9, P4
104, C3, P15
105, C81, P3
106, C3, P17
107, C58, P1
108, C100, P14
109, C7, P8
110, C54, P3
111, C65, P1
112, C81, P11
113, C41, P17
114, C73, P19
115, C67, P3
116, C14, P19
117, C65, P8
118, C18, P17
119, C32, P9
120, C88, P19
121, C7, P5
122, C97, P14
123, C27, P4
124, C21, P2
125, C69, P20
126, C86, P13
127, C85, P20
128, C17, P3
129, C5, P10
130, C73, P19
131, C39, P8
132, C85, P3
133, C18, P4
134, C21, P10
135, C23, P20
136, C32, P17
137, C35, P4
138, C9, P12
139, C55, P3
140, C67, P2
141, C71, P8
142, C18, P13
143, C26, P1
144, C43, P3
145, C42, P7
146, C73, P7
147, C67, P5
148, C2, P4
149, C65, P11
150, C65, P20
151, C100, P19
152, C1, P3
153, C17, P11
154, C14, P9
155, C5, P7
156, C34, P10
157, C85, P7
158, C6, P10
159, C10, P11
160, C29, P5
161, C51, P12
162, C18, P5
163, C15, P12
164, C17, P3
165, C65, P9
166, C30, P4
167, C55, P10
168, C96, P20
169, C23, P17
170, C29, P15
171, C49, P16
172, C56, P5
173, C77, P1
174, C87, P2
175, C30, P6
176, C35, P15
177, C16, P20
178, C39, P7
179, C63, P8
180, C44, P12
181, C81, P15
182, C55, P20
183, C9, P13
184, C84, P12
185, C9, P12
186, C65, P10
187, C62, P10
188, C86, P3
189, C86, P16
190, C68, P7
191, C69, P8
192, C97, P10
193, C3, P1
194, C41, P7
195, C20, P3
196, C6, P15
197, C97, P9
198, C2, P3
199, C71, P8
200, C14, P19
201, C1, P18
202, C65, P7
203, C44, P9
204, C55, P5
205, C82, P16
206, C35, P14
207, C42, P8
208, C36, P20
209, C64, P8
210, C55, P20
211, C86, P15
212, C41, P11
213, C7, P3
214, C74, P1
215, C35, P6
216, C5, P3
217, C97, P19
218, C57, P16
219, C94, P18
220, C48, P12
221, C78, P6
222, C93, P18
223, C35, P20
224, C61, P2
225, C2, P20
226, C70, P9
227, C92, P20
228, C98, P20
229, C55, P6
230, C35, P14
231, C8, P4
232, C2, P16
233, C57, P20
234, C20, P14
235, C62, P12
236, C99, P16
237, C38, P18
238, C81, P9
239, C55, P15
240, C16, P8
241, C60, P2
242, C20, P1
243, C46, P8
244, C92, P16
245, C37, P16
246, C58, P4
247, C91, P15
248, C38, P2
249, C17, P12
250, C77, P8
251, C25, P1
252, C63, P15
253, C57, P19
254, C98, P1
255, C25, P16
256, C52, P5
257, C71, P20
258, C17, P20
259, C64, P10
260, C94, P19
261, C94, P5
262, C91, P9
263, C67, P18
264, C23, P20
265, C15, P16
266, C20, P3
267, C69, P15
268, C16, P9
269, C15, P9
270, C35, P2
271, C88, P6
272, C26, P10
273, C75, P19
274, C73, P14
275, C21, P12
276, C16, P14
277, C81, P5
278, C8, P8
279, C88, P14
280, C100, P18
281, C90, P15
282, C86, P2
283, C30, P5
284, C98, P9
285, C66, P5
286, C62, P16
287, C39, P7
288, C7, P13
289, C38, P10
290, C20, P7
291, C40, P8
292, C48, P3
293, C12, P5
294, C65, P12
295, C25, P18
296, C75, P1
297, C54, P1
298, C26, P14
299, C6, P16
300, C11, P15
301, C85, P11
302, C100, P8
303, C21, P5
304, C6, P19
305, C18, P10
306, C99, P6
307, C25, P13
308, C53, P5
309, C89, P4
310, C67, P10
311, C100, P2
312, C99, P12
313, C55, P14
314, C73, P3
315, C24, P3
316, C89, P15
317, C30, P5
318, C4, P4
319, C73, P6
320, C98, P20
321, C99, P13
322, C24, P18
323, C66, P10
324, C25, P6
325, C27, P12
326, C27, P15
327, C76, P13
328, C82, P10
329, C80, P18
330, C71, P8
331, C7, P10
332, C33, P3
333, C94, P13
334, C28, P4
335, C34, P8
336, C91, P4
337, C48, P10
338, C63, P8
339, C20, P3
340, C37, P14
341, C84, P1
342, C54, P10
343, C88, P12
344, C54, P19
345, C60, P12
346, C12, P18
347, C98, P6
348, C13, P13
349, C87, P5
350, C55, P5
351, C87, P19
352, C12, P18
353, C95, P10
354, C72, P16
355, C8, P12
356, C47, P8
357, C23, P15
358, C9, P19
359, C11, P18
360, C99, P2
361, C86, P11
362, C19, P3
363, C83, P13
364, C18, P13
365, C45, P6
366, C5, P11
367, C77, P15
368, C13, P7
369, C55, P15
370, C70, P7
371, C20, P2
372, C2, P9
373, C54, P12
374, C3, P10
375, C36, P6
376, C17, P3
377, C8, P18
378, C11, P20
379, C58, P4
380, C26, P19
381, C13, P5
382, C72, P18
383, C36, P17
384, C60, P13
385, C62, P7
386, C39, P13
387, C66, P8
388, C10, P16
389, C9, P3
390, C31, P15
391, C43, P4
392, C60, P18
393, C78, P13
394, C19, P1
395, C89, P12
396, C71, P19
397, C18, P14
398, C39, P11
399, C59, P16
400, C78, P3
401, C52, P10
402, C11, P10
403, C34, P2
404, C9, P15
405, C69, P8
406, C45, P16
407, C89, P10
408, C46, P19
409, C74, P20
410, C10, P15
411, C84, P14
412, C36, P5
413, C82, P6
414, C11, P16
415, C12, P3
416, C12, P6
417, C89, P12
418, C71, P2
419, C29, P1
420, C52, P17
421, C89, P18
422, C52, P14
423, C81, P12
424, C63, P12
425, C39, P9
426, C49, P2
427, C17, P3
428, C64, P4
429, C76, P16
430, C78, P4
431, C19, P2
432, C49, P12
433, C1, P18
434, C14, P7
435, C56, P16
436, C12, P19
437, C85, P15
438, C46, P20
439, C64, P18
440, C85, P12
441, C57, P17
442, C76, P8
443, C17, P16
444, C86, P11
445, C47, P17
446, C61, P19
447, C45, P10
448, C38, P13
449, C100, P19
450, C27, P1
451, C53, P10
452, C64, P4
453, C31, P9
454, C48, P12
455, C12, P17
456, C74, P9
457, C85, P2
458, C16, P9
459, C74, P14
460, C43, P12
461, C32, P17
462, C71, P5
463, C87, P12
464, C92, P10
